model,task,reg_tokens,cot_tokens,word_ratio,token_ratio,type
Llama-3.2-1B,arc_challenge,12.271186440677965,124.7457627118644,10.165745856353592,10.165745856353592,per_model_eval
Llama-3.2-1B,truthfulqa_mc1,12.341463414634147,100.46341463414635,8.140316205533598,8.140316205533598,per_model_eval
Llama-3.2-1B,winogrande,69.046875,150.40625,2.1783208870785247,2.1783208870785247,per_model_eval
Llama-3.2-1B,xwinograd,51.04424778761062,145.5,2.8504680998613035,2.8504680998613035,per_model_eval
Llama-3.2-1B,hellaswag,74.39165009940358,151.8727634194831,2.041529704160988,2.041529704160988,per_model_eval
Llama-3.2-1B,mmlu,1.0,143.45604395604394,143.45604395604394,143.45604395604394,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,arc_challenge,2.3220338983050848,64.61016949152543,27.824817518248175,27.824817518248175,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,truthfulqa_mc1,0.34146341463414637,19.195121951219512,56.21428571428571,56.21428571428571,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,winogrande,30.25,116.453125,3.8496900826446283,3.8496900826446283,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,xwinograd,20.300884955752213,95.0575221238938,4.6824324324324325,4.6824324324324325,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,hellaswag,49.52683896620278,109.28230616302187,2.2065269749518306,2.2065269749518306,per_model_eval
OLMo-1B-0724-hf_step477000-tokens1000B,mmlu,0.18269230769230768,42.625,233.31578947368422,233.31578947368422,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,arc_challenge,2.1186440677966103,26.796610169491526,12.648,12.648,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,truthfulqa_mc1,1.7560975609756098,1.4634146341463414,0.8333333333333333,0.8333333333333333,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,winogrande,29.15625,40.21875,1.3794212218649518,1.3794212218649518,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,xwinograd,15.876106194690266,63.0353982300885,3.970457079152731,3.970457079152731,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,hellaswag,49.564612326043736,88.41351888667992,1.7838032970999962,1.7838032970999962,per_model_eval
OLMo-1B-0724-hf_step5000-tokens10B,mmlu,2.26510989010989,83.40384615384616,36.82110369921165,36.82110369921165,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,arc_challenge,1.2033898305084745,19.983050847457626,16.605633802816904,16.605633802816904,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,truthfulqa_mc1,0.4634146341463415,18.341463414634145,39.57894736842105,39.57894736842105,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,winogrande,28.5,70.875,2.486842105263158,2.486842105263158,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,xwinograd,17.36725663716814,35.92035398230089,2.0682802547770707,2.0682802547770707,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,hellaswag,47.35188866799205,72.56461232604374,1.5324544462171468,1.5324544462171468,per_model_eval
OLMo-1B-0724-hf_step48000-tokens100B,mmlu,1.0494505494505495,21.787087912087912,20.76047120418848,20.76047120418848,per_model_eval
pythia-1b-deduped,arc_challenge,22.627118644067796,51.83050847457627,2.29063670411985,2.29063670411985,per_model_eval
pythia-1b-deduped,truthfulqa_mc1,7.829268292682927,6.024390243902439,0.7694704049844237,0.7694704049844237,per_model_eval
pythia-1b-deduped,winogrande,30.21875,79.03125,2.6153050672182006,2.6153050672182006,per_model_eval
pythia-1b-deduped,xwinograd,21.6858407079646,70.23008849557522,3.2385227504590897,3.2385227504590897,per_model_eval
pythia-1b-deduped,hellaswag,58.68389662027833,115.46918489065607,1.9676468595433294,1.9676468595433294,per_model_eval
pythia-1b-deduped,mmlu,1.5741758241758241,66.02472527472527,41.94240837696335,41.94240837696335,per_model_eval
OLMo-1B-0724-hf_main,arc_challenge,3.4915254237288136,43.05084745762712,12.330097087378642,12.330097087378642,per_model_eval
OLMo-1B-0724-hf_main,truthfulqa_mc1,0.04878048780487805,30.682926829268293,629.0,629.0,per_model_eval
OLMo-1B-0724-hf_main,winogrande,44.140625,23.859375,0.5405309734513274,0.5405309734513274,per_model_eval
OLMo-1B-0724-hf_main,xwinograd,29.79646017699115,36.06194690265487,1.2102762102762104,1.2102762102762104,per_model_eval
OLMo-1B-0724-hf_main,hellaswag,46.411530815109344,19.77534791252485,0.4260869565217391,0.4260869565217391,per_model_eval
OLMo-1B-0724-hf_main,mmlu,1.521978021978022,27.196428571428573,17.869133574007222,17.869133574007222,per_model_eval
pythia-410m-deduped,arc_challenge,27.220338983050848,10.067796610169491,0.3698630136986301,0.3698630136986301,per_model_eval
pythia-410m-deduped,truthfulqa_mc1,10.21951219512195,2.8292682926829267,0.2768496420047733,0.2768496420047733,per_model_eval
pythia-410m-deduped,winogrande,33.390625,12.75,0.3818437061300889,0.3818437061300889,per_model_eval
pythia-410m-deduped,xwinograd,21.63274336283186,30.68141592920354,1.4182859480466352,1.4182859480466352,per_model_eval
pythia-410m-deduped,hellaswag,48.36779324055666,42.87673956262425,0.8864729335361091,0.8864729335361091,per_model_eval
pythia-410m-deduped,mmlu,1.8021978021978022,13.159340659340659,7.301829268292683,7.301829268292683,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,arc_challenge,1.9830508474576272,7.796610169491525,3.9316239316239314,3.9316239316239314,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,truthfulqa_mc1,0.7317073170731707,9.097560975609756,12.433333333333334,12.433333333333334,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,winogrande,24.578125,67.9375,2.7641449459631278,2.7641449459631278,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,xwinograd,18.32300884955752,69.88053097345133,3.813813088625936,3.813813088625936,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,hellaswag,42.139165009940356,101.9324055666004,2.4189469711266276,2.4189469711266276,per_model_eval
OLMo-1B-0724-hf_step954000-tokens2000B,mmlu,1.76510989010989,25.960164835164836,14.70739299610895,14.70739299610895,per_model_eval
Llama-3.2-1B,ALL,36.68257045705439,136.0740391202563,3.7095011997472502,3.7095011997472502,per_model
OLMo-1B-0724-hf_step477000-tokens1000B,ALL,17.153985590431088,74.53720745494344,4.34518305160068,4.34518305160068,per_model
OLMo-1B-0724-hf_step5000-tokens10B,ALL,16.789470006602684,50.555256345708735,3.011128780469378,3.011128780469378,per_model
OLMo-1B-0724-hf_step48000-tokens100B,ALL,15.989233386544258,39.911928080420715,2.4961752146296523,2.4961752146296523,per_model
pythia-1b-deduped,ALL,23.76984168152825,64.76835789657254,2.7248123384391154,2.7248123384391154,per_model
OLMo-1B-0724-hf_main,ALL,20.9018166542687,30.104478778917283,1.4402804922111474,1.4402804922111474,per_model
pythia-410m-deduped,ALL,23.772201763959856,18.72742684233681,0.7877868036072604,0.7877868036072604,per_model
OLMo-1B-0724-hf_step954000-tokens2000B,ALL,14.920027819023092,47.100795420052975,3.1568838873074543,3.1568838873074543,per_model
ALL,mmlu,1.3950892857142856,52.95157967032967,37.95569230769231,37.95569230769231,per_eval
ALL,hellaswag,52.05467196819086,87.77335984095427,1.686176408807073,1.686176408807073,per_eval
ALL,winogrande,36.16015625,70.19140625,1.9411256346548558,1.9411256346548558,per_eval
ALL,arc_challenge,9.154661016949152,43.610169491525426,4.763712103679704,4.763712103679704,per_eval
ALL,xwinograd,24.503318584070797,68.29590707964601,2.7872105096835353,2.7872105096835353,per_eval
ALL,truthfulqa_mc1,4.216463414634147,23.512195121951223,5.576283441793204,5.576283441793204,per_eval
ALL,ALL,21.24739341992654,57.7224362424011,2.716683176218077,2.716683176218077,overall
